ZIP Code,One Dose Administered,Persons Fully Vaccinated
60177,"15,662 (67.77%)","14,896 (64.46%)"
60178,"13,864 (61.86%)","13,217 (58.97%)"
60180,825 (39.72%),803 (38.66%)
60181,"19,505 (67.72%)","18,508 (64.26%)"
60184,"1,579 (66.99%)","1,485 (63%)"
60185,"23,305 (64.5%)","21,775 (60.27%)"
60187,"19,612 (66.02%)","18,621 (62.68%)"
60188,"29,343 (68.88%)","27,818 (65.3%)"
60189,"21,863 (71.85%)","20,987 (68.97%)"
60190,"8,105 (72.74%)","7,764 (69.68%)"
60191,"9,030 (63.83%)","8,542 (60.38%)"
60192,"12,327 (78.77%)","11,827 (75.57%)"
60193,"27,835 (69.16%)","26,649 (66.21%)"
60194,"14,347 (75.73%)","13,606 (71.81%)"
60195,"3,416 (61.35%)","3,226 (57.94%)"
60201,"32,685 (77.28%)","29,849 (70.57%)"
60202,"25,259 (76.87%)","23,562 (71.7%)"
60203,"3,612 (86.25%)","3,372 (80.52%)"
60301,"2,242 (88.41%)","2,096 (82.65%)"
60302,"25,137 (78.44%)","23,668 (73.85%)"
60304,"13,197 (74.81%)","12,512 (70.93%)"
60305,"8,432 (76.21%)","7,968 (72.02%)"
60401,"4,014 (51.6%)","3,593 (46.19%)"
60402,"40,711 (64.06%)","37,861 (59.57%)"
60403,"10,585 (57.99%)","9,763 (53.48%)"
60404,"12,802 (68.11%)","11,925 (63.44%)"
60406,"13,815 (54.7%)","12,577 (49.8%)"
60407,630 (37.15%),567 (33.43%)
60408,"2,698 (47.76%)","2,449 (43.35%)"
60409,"16,856 (45.61%)","15,178 (41.07%)"
60410,"7,851 (61.38%)","7,296 (57.04%)"
60411,"26,231 (45.38%)","23,772 (41.13%)"
60415,"7,304 (51.24%)","6,824 (47.87%)"
60416,"4,665 (50.91%)","4,298 (46.9%)"
60417,"8,346 (54.82%)","7,626 (50.09%)"
60419,"10,615 (46.88%)","9,529 (42.08%)"
60420,"2,599 (54.01%)","2,425 (50.39%)"
60421,"1,992 (51.83%)","1,823 (47.44%)"
60422,"7,026 (71.93%)","6,572 (67.28%)"
60423,"20,882 (67.5%)","19,722 (63.75%)"
60424,"1,037 (42.07%)",959 (38.9%)
60425,"5,026 (56.4%)","4,630 (51.95%)"
60426,"12,015 (41.54%)","10,563 (36.52%)"
60428,"5,558 (45.29%)","4,967 (40.48%)"
60429,"7,911 (51.41%)","7,258 (47.17%)"
60430,"13,303 (65.77%)","12,521 (61.9%)"
60431,"16,672 (71.8%)","15,306 (65.92%)"
60432,"11,900 (58.85%)","10,080 (49.85%)"
60433,"9,042 (54.37%)","7,710 (46.36%)"
60435,"28,913 (57.98%)","25,776 (51.69%)"
60436,"10,089 (53.25%)","8,904 (47%)"
60437,85 (46.45%),80 (43.72%)
60438,"14,320 (49.45%)","13,019 (44.96%)"
60439,"14,882 (63.54%)","14,163 (60.47%)"
60440,"34,501 (66.04%)","32,138 (61.51%)"
60441,"19,737 (55.73%)","18,515 (52.28%)"
60442,"6,123 (58.14%)","5,756 (54.66%)"
60443,"12,424 (57.64%)","11,519 (53.44%)"
60444,779 (45.26%),719 (41.78%)
60445,"8,486 (32.73%)","7,954 (30.67%)"
60446,"25,683 (64.07%)","23,787 (59.34%)"
60447,"8,443 (59.37%)","7,888 (55.47%)"
60448,"15,540 (58.18%)","14,672 (54.93%)"
60449,"4,930 (52.45%)","4,532 (48.21%)"
60450,"11,558 (56.49%)","10,579 (51.71%)"
60451,"21,975 (62.88%)","20,745 (59.36%)"
60452,"16,722 (59.04%)","15,921 (56.21%)"
60453,"35,711 (63.29%)","33,664 (59.67%)"
60455,"9,038 (54.85%)","8,333 (50.57%)"
60456,"2,689 (62.42%)","2,520 (58.5%)"
60457,"7,771 (55.44%)","7,280 (51.93%)"
60458,"6,466 (42.29%)","5,978 (39.1%)"
60459,"16,889 (58.42%)","15,874 (54.91%)"
60460,677 (50.79%),624 (46.81%)
60461,"3,526 (71.71%)","3,279 (66.69%)"
60462,"26,408 (65.52%)","25,157 (62.42%)"
60463,"9,836 (65.9%)","9,319 (62.43%)"
60464,"6,706 (69.03%)","6,376 (65.63%)"
60465,"9,865 (56.46%)","9,307 (53.27%)"
60466,"11,613 (52.81%)","10,603 (48.22%)"
60467,"18,328 (68.83%)","17,410 (65.38%)"
60468,"2,973 (49.19%)","2,739 (45.32%)"
60469,"3,254 (56.3%)","3,000 (51.9%)"
60470,288 (57.95%),268 (53.92%)
60471,"6,836 (48.64%)","6,219 (44.25%)"
60472,"2,296 (47.15%)","2,056 (42.22%)"
60473,"12,599 (56.75%)","11,601 (52.25%)"
60474,360 (36.51%),318 (32.25%)
60475,"4,352 (44.99%)","4,003 (41.38%)"
60476,"1,274 (51.1%)","1,194 (47.89%)"
60477,"23,767 (62.68%)","22,703 (59.87%)"
60478,"9,093 (53.14%)","8,403 (49.11%)"
60479,356 (38.12%),330 (35.33%)
60480,"3,294 (61.34%)","3,150 (58.66%)"
60481,"5,862 (50.8%)","5,356 (46.41%)"
60482,"5,826 (53.37%)","5,446 (49.89%)"
60484,"2,973 (45.18%)","2,643 (40.17%)"
60487,"18,044 (67.87%)","17,203 (64.7%)"
60490,"15,932 (71.76%)","15,079 (67.92%)"
60491,"14,048 (61.18%)","13,276 (57.82%)"
60501,"6,938 (58.53%)","6,481 (54.67%)"
60502,"16,456 (72.74%)","15,634 (69.11%)"
60503,"11,405 (67.19%)","10,823 (63.77%)"
60504,"25,776 (67.81%)","24,213 (63.7%)"
60505,"34,425 (44.6%)","31,265 (40.5%)"
60506,"33,134 (61.11%)","30,655 (56.54%)"
60510,"20,268 (68.63%)","19,318 (65.41%)"
60511,934 (48.34%),874 (45.24%)
60512,694 (58.61%),638 (53.89%)
