ZIP Code,One Dose Administered,Persons Fully Vaccinated
61368,644 (45.1%),585 (40.97%)
61369,867 (52.36%),823 (49.7%)
61370,763 (54.77%),721 (51.76%)
61372,120 (74.53%),117 (72.67%)
61373,"1,246 (58.39%)","1,178 (55.2%)"
61374,63 (53.39%),58 (49.15%)
61375,586 (50.65%),564 (48.75%)
61376,"1,043 (49.24%)",976 (46.08%)
61377,542 (38.14%),520 (36.59%)
61378,244 (73.27%),236 (70.87%)
61379,604 (40.59%),552 (37.1%)
61401,"18,218 (54.08%)","17,020 (50.53%)"
61410,"1,761 (45.25%)","1,646 (42.29%)"
61411,169 (38.06%),167 (37.61%)
61412,676 (46.08%),637 (43.42%)
61413,516 (56.95%),480 (52.98%)
61414,393 (41.94%),374 (39.91%)
61415,767 (40.6%),722 (38.22%)
61416,58 (19.73%),53 (18.03%)
61417,121 (42.31%),112 (39.16%)
61418,194 (35.79%),187 (34.5%)
61419,79 (69.3%),76 (66.67%)
61420,451 (40.23%),425 (37.91%)
61421,608 (46.77%),572 (44%)
61422,"1,487 (47%)","1,409 (44.53%)"
61423,337 (64.93%),324 (62.43%)
61424,35 (25.93%),34 (25.19%)
61425,89 (23.73%),80 (21.33%)
61426,17 (15.6%),16 (14.68%)
61427,"1,152 (52.55%)","1,104 (50.36%)"
61428,684 (66.93%),650 (63.6%)
61430,449 (66.32%),418 (61.74%)
61431,155 (52.36%),147 (49.66%)
61432,380 (57.75%),361 (54.86%)
61433,43 (40.19%),43 (40.19%)
61434,"1,736 (57.64%)","1,660 (55.11%)"
61435,90 (100%),86 (100%)
61436,431 (66.31%),409 (62.92%)
61437,177 (18.21%),162 (16.67%)
61438,372 (40.57%),366 (39.91%)
61439,130 (53.72%),123 (50.83%)
61440,344 (49.86%),339 (49.13%)
61441,393 (39.26%),386 (38.56%)
61442,273 (38.56%),252 (35.59%)
61443,"7,588 (55.54%)","7,215 (52.81%)"
61447,400 (39.02%),387 (37.76%)
61448,"2,135 (55.64%)","2,037 (53.09%)"
61449,215 (63.8%),208 (61.72%)
61450,527 (29.49%),494 (27.64%)
61451,165 (49.85%),159 (48.04%)
61452,121 (54.5%),113 (50.9%)
61453,285 (49.31%),271 (46.89%)
61454,120 (24%),109 (21.8%)
61455,"9,076 (43.85%)","8,512 (41.12%)"
61458,403 (60.24%),388 (58%)
61459,174 (45.19%),168 (43.64%)
61460,94 (29.19%),92 (28.57%)
61462,"5,476 (47.53%)","5,118 (44.42%)"
61465,499 (42.98%),459 (39.53%)
61466,153 (46.93%),143 (43.87%)
61467,575 (49.15%),540 (46.15%)
61468,53 (65.43%),48 (59.26%)
61469,686 (30.52%),629 (27.98%)
61470,245 (45.62%),226 (42.09%)
61471,31 (51.67%),30 (50%)
61472,339 (65.57%),329 (63.64%)
61473,755 (50.03%),725 (48.05%)
61474,135 (46.23%),128 (43.84%)
61475,103 (50.74%),100 (49.26%)
61476,195 (52%),185 (49.33%)
61477,303 (52.88%),292 (50.96%)
61478,97 (30.41%),92 (28.84%)
61479,68 (100%),66 (100%)
61480,357 (29.5%),335 (27.69%)
61482,289 (43.07%),281 (41.88%)
61483,941 (45.02%),894 (42.78%)
61484,351 (42.19%),334 (40.14%)
61485,303 (67.79%),281 (62.86%)
61486,747 (50.85%),696 (47.38%)
61488,594 (57.12%),570 (54.81%)
61489,485 (55.75%),456 (52.41%)
61490,511 (45.06%),491 (43.3%)
61491,945 (49.04%),906 (47.02%)
61501,687 (44.78%),655 (42.7%)
61516,306 (45.27%),295 (43.64%)
61517,"1,897 (57.94%)","1,826 (55.77%)"
61519,107 (46.52%),103 (44.78%)
61520,"9,784 (58.22%)","9,283 (55.24%)"
61523,"6,211 (55.5%)","5,982 (53.45%)"
61524,143 (37.53%),137 (35.96%)
61525,"7,445 (81.03%)","7,162 (77.95%)"
61526,631 (77.9%),607 (74.94%)
61528,"2,054 (65.69%)","1,988 (63.58%)"
61529,"1,612 (59.73%)","1,545 (57.24%)"
61530,"3,093 (42.69%)","2,998 (41.38%)"
61531,"1,801 (54%)","1,708 (51.21%)"
61532,217 (33.64%),205 (31.78%)
61533,"1,191 (47.47%)","1,138 (45.36%)"
61534,763 (42.25%),737 (40.81%)
61535,"1,042 (61.4%)","1,000 (58.93%)"
61536,"1,606 (55.04%)","1,545 (52.95%)"
61537,"1,624 (58.97%)","1,534 (55.7%)"
61539,70 (33.98%),68 (33.01%)
61540,"1,369 (49.42%)","1,313 (47.4%)"
61541,33 (36.26%),31 (34.07%)
61542,"1,747 (48.15%)","1,677 (46.22%)"
61543,54 (35.53%),52 (34.21%)
61544,382 (64.75%),363 (61.53%)
61545,310 (44.29%),293 (41.86%)
61546,"1,925 (51.1%)","1,842 (48.9%)"
61547,"2,166 (52.34%)","2,098 (50.7%)"
61548,"7,549 (63.17%)","7,295 (61.05%)"
61550,"11,306 (63.56%)","10,825 (60.86%)"
61552,104 (71.23%),95 (65.07%)
61553,113 (80.71%),109 (77.86%)
61554,"20,934 (49.77%)","19,971 (47.48%)"
61559,"1,771 (54.28%)","1,679 (51.46%)"
61560,405 (72.32%),371 (66.25%)
61561,"1,151 (46.62%)","1,101 (44.59%)"
61562,82 (100%),76 (100%)
61563,234 (45.09%),221 (42.58%)
61564,387 (40.23%),356 (37.01%)
61565,678 (46.82%),641 (44.27%)
61567,307 (56.85%),294 (54.44%)
61568,"2,179 (51.6%)","2,101 (49.75%)"
61569,634 (53.55%),609 (51.44%)
61570,775 (43.37%),737 (41.24%)
61571,"14,741 (59.03%)","14,199 (56.86%)"
61572,479 (40.22%),466 (39.13%)
61602,612 (69.78%),563 (64.2%)
61603,"6,588 (39.56%)","6,040 (36.27%)"
61604,"14,755 (48.25%)","13,928 (45.54%)"
61605,"5,158 (32.83%)","4,646 (29.57%)"
61606,"2,558 (32.5%)","2,373 (30.15%)"
61607,"6,028 (56.48%)","5,772 (54.08%)"
61610,"2,273 (41.38%)","2,167 (39.45%)"
61611,"13,417 (53.93%)","12,737 (51.2%)"
61614,"17,678 (63.11%)","16,878 (60.25%)"
61615,"15,796 (68.18%)","15,139 (65.34%)"
61616,"3,346 (56.62%)","3,138 (53.1%)"
61625,27 (7.3%),25 (6.76%)
61701,"20,129 (56.25%)","18,917 (52.87%)"
61704,"25,459 (68.43%)","24,311 (65.35%)"
61705,"9,330 (71.93%)","8,923 (68.79%)"
61720,125 (62.19%),119 (59.2%)
61721,269 (45.44%),255 (43.07%)
61722,257 (53.77%),244 (51.05%)
61723,"1,139 (43.89%)","1,100 (42.39%)"
61724,243 (49.19%),239 (48.38%)
61725,781 (45.86%),747 (43.86%)
61726,"1,109 (45.69%)","1,057 (43.55%)"
61727,"4,871 (49.57%)","4,644 (47.26%)"
61728,703 (53.62%),675 (51.49%)
61729,443 (36.89%),428 (35.64%)
61730,161 (53.49%),157 (52.16%)
61731,101 (52.06%),91 (46.91%)
61732,"1,131 (54.98%)","1,091 (53.04%)"
61733,535 (64.38%),510 (61.37%)
61734,"1,289 (46.62%)","1,234 (44.63%)"
61735,164 (36.12%),155 (34.14%)
61736,"1,288 (73.6%)","1,235 (70.57%)"
61737,267 (56.09%),261 (54.83%)
61738,"2,059 (46.85%)","1,966 (44.73%)"
61739,"2,244 (49.03%)","2,141 (46.78%)"
61740,732 (47.66%),694 (45.18%)
61741,667 (39.17%),621 (36.47%)
61742,604 (48.32%),579 (46.32%)
61743,103 (50.24%),96 (46.83%)
61744,940 (50.4%),902 (48.36%)
61745,"2,325 (50.39%)","2,243 (48.61%)"
61747,838 (56.66%),810 (54.77%)
61748,"1,755 (64.52%)","1,712 (62.94%)"
61749,224 (48.59%),217 (47.07%)
61750,48 (31.17%),47 (30.52%)
61751,53 (63.86%),54 (65.06%)
61752,"2,532 (57.69%)","2,437 (55.53%)"
61753,"1,648 (53.89%)","1,579 (51.64%)"
61754,616 (57.95%),585 (55.03%)
61755,"2,333 (49.24%)","2,230 (47.07%)"
61756,"1,055 (43.72%)",997 (41.32%)
61759,699 (45.72%),666 (43.56%)
61760,"1,211 (48.07%)","1,174 (46.61%)"
61761,"28,419 (51.46%)","27,124 (49.12%)"
61764,"7,020 (50.05%)","6,545 (46.66%)"
61769,268 (43.16%),251 (40.42%)
61770,482 (42.36%),462 (40.6%)
61771,362 (48.72%),348 (46.84%)
61772,189 (79.41%),183 (76.89%)
61773,213 (51.57%),209 (50.61%)
61774,419 (37.41%),395 (35.27%)
61775,105 (32.11%),95 (29.05%)
61776,864 (64.09%),831 (61.65%)
61777,405 (55.63%),381 (52.34%)
61778,258 (37.34%),240 (34.73%)
61801,"16,336 (52.43%)","15,220 (48.85%)"
61802,"12,312 (63.63%)","11,443 (59.14%)"
61810,137 (39.6%),130 (37.57%)
61811,238 (35.1%),223 (32.89%)
61812,159 (41.73%),147 (38.58%)
61813,960 (57.97%),883 (53.32%)
61814,464 (43.2%),442 (41.15%)
61815,164 (63.32%),157 (60.62%)
61816,239 (52.18%),224 (48.91%)
61817,"1,133 (45.03%)","1,078 (42.85%)"
61818,697 (40.71%),649 (37.91%)
61820,"21,858 (57.29%)","20,079 (52.62%)"
61821,"18,565 (60.71%)","17,376 (56.82%)"
61822,"17,835 (69.05%)","16,946 (65.61%)"
61830,231 (68.55%),216 (64.09%)
61831,55 (41.04%),51 (38.06%)
61832,"13,355 (38.25%)","12,288 (35.19%)"
61833,739 (33.61%),677 (30.79%)
61834,"4,186 (47.69%)","3,976 (45.3%)"
61839,288 (47.21%),275 (45.08%)
61840,441 (53.85%),426 (52.01%)
61841,627 (46.76%),601 (44.82%)
61842,"1,431 (52.48%)","1,368 (50.17%)"
61843,"1,284 (54.22%)","1,222 (51.6%)"
61844,491 (68.67%),468 (65.45%)
61845,186 (48.56%),180 (47%)
61846,"1,805 (36.7%)","1,693 (34.42%)"
61847,633 (51.09%),592 (47.78%)
61848,54 (23.48%),50 (21.74%)
61849,940 (47.02%),900 (45.02%)
61850,203 (48.56%),193 (46.17%)
61851,225 (76.27%),214 (72.54%)
61852,112 (50.68%),105 (47.51%)
61853,"9,316 (66.63%)","8,888 (63.57%)"
61854,766 (63.99%),735 (61.4%)
61855,37 (35.58%),31 (29.81%)
61856,"4,949 (62.77%)","4,600 (58.35%)"
61857,74 (37.95%),70 (35.9%)
61858,"1,396 (46.27%)","1,325 (43.92%)"
61859,695 (56.69%),652 (53.18%)
61862,237 (44.47%),224 (42.03%)
61863,506 (62.78%),483 (59.93%)
61864,"1,082 (62.94%)","1,049 (61.02%)"
61865,507 (32.5%),482 (30.9%)
61866,"6,910 (48.34%)","6,273 (43.88%)"
61870,407 (30.83%),379 (28.71%)
61871,172 (56.58%),166 (54.61%)
61872,380 (42.32%),365 (40.65%)
61873,"3,623 (55.58%)","3,466 (53.17%)"
61874,"6,110 (74.97%)","5,769 (70.79%)"
61875,428 (52.32%),406 (49.63%)
61876,276 (49.2%),269 (47.95%)
61877,885 (49.08%),837 (46.42%)
61878,703 (53.66%),676 (51.6%)
61880,"2,532 (66.09%)","2,429 (63.4%)"
61882,321 (46.25%),305 (43.95%)
61883,"1,692 (39.5%)","1,599 (37.32%)"
61884,692 (61.57%),659 (58.63%)
61910,"2,100 (49.7%)","1,940 (45.92%)"
61911,970 (19.13%),907 (17.89%)
61912,522 (42.54%),491 (40.02%)
61913,656 (44.84%),595 (40.67%)
61914,761 (41.52%),731 (39.88%)
61917,229 (29.7%),216 (28.02%)
61919,425 (45.12%),406 (43.1%)
61920,"9,910 (41.29%)","9,340 (38.92%)"
61924,873 (38.66%),814 (36.05%)
61925,419 (62.54%),387 (57.76%)
61928,240 (36.09%),219 (32.93%)
61929,317 (46.41%),303 (44.36%)
61930,197 (26.44%),183 (24.56%)
61931,413 (38.24%),389 (36.02%)
61932,200 (45.56%),190 (43.28%)
61933,376 (41.73%),344 (38.18%)
61936,84 (28.97%),80 (27.59%)
61937,749 (35.13%),718 (33.68%)
61938,"9,744 (44.62%)","9,188 (42.07%)"
61940,85 (35.71%),77 (32.35%)
61941,22 (27.85%),20 (25.32%)
61942,589 (56.36%),546 (52.25%)
61943,676 (40.72%),636 (38.31%)
61944,"5,384 (43.92%)","5,025 (40.99%)"
61949,57 (39.31%),52 (35.86%)
61951,"3,550 (44.62%)","3,399 (42.72%)"
61953,"3,298 (54.36%)","3,123 (51.48%)"
61955,72 (38.1%),67 (35.45%)
61956,"1,258 (46.44%)","1,154 (42.6%)"
61957,670 (35.04%),644 (33.68%)
62001,996 (55.46%),952 (53.01%)
62002,"15,777 (50.8%)","14,729 (47.42%)"
62006,320 (65.31%),307 (62.65%)
62009,828 (45.64%),767 (42.28%)
62010,"6,075 (53.49%)","5,755 (50.67%)"
62011,92 (53.49%),83 (48.26%)
62012,"3,197 (49.75%)","3,011 (46.86%)"
62013,210 (30.3%),202 (29.15%)
62014,"1,814 (43.91%)","1,693 (40.98%)"
62015,267 (42.05%),255 (40.16%)
62016,"1,714 (46.65%)","1,658 (45.13%)"
62017,484 (53.96%),450 (50.17%)
62018,"1,389 (45.78%)","1,288 (42.45%)"
62019,212 (53.94%),200 (50.89%)
62021,558 (60.65%),528 (57.39%)
62022,627 (59.15%),606 (57.17%)
62023,50 (42.74%),47 (40.17%)
62024,"4,799 (48.4%)","4,476 (45.14%)"
62025,"20,966 (61.1%)","19,884 (57.95%)"
62027,202 (40.89%),193 (39.07%)
62028,443 (34.64%),410 (32.06%)
62030,21 (14.09%),19 (12.75%)
62031,407 (54.34%),383 (51.13%)
62032,302 (41.26%),289 (39.48%)
62033,"2,471 (54.73%)","2,345 (51.94%)"
62034,"9,123 (66.75%)","8,566 (62.68%)"
62035,"9,833 (59.52%)","9,319 (56.41%)"
62036,278 (34.62%),272 (33.87%)
62037,909 (41.22%),871 (39.5%)
62040,"19,908 (46.9%)","18,403 (43.36%)"
62044,728 (34.77%),700 (33.43%)
62045,192 (44.76%),185 (43.12%)
62046,544 (70.74%),519 (67.49%)
62047,677 (46.92%),659 (45.67%)
62048,620 (33.9%),583 (31.88%)
62049,"4,182 (46.75%)","3,702 (41.38%)"
62050,131 (37.01%),123 (34.75%)
62051,394 (67.35%),369 (63.08%)
62052,"6,545 (53.25%)","6,267 (50.98%)"
62053,215 (34.35%),203 (32.43%)
62054,296 (37.9%),276 (35.34%)
62056,"4,495 (52.43%)","4,235 (49.39%)"
62058,326 (43.06%),307 (40.55%)
62059,185 (40.93%),156 (34.51%)
62060,"1,620 (35.32%)","1,454 (31.71%)"
62061,976 (58.41%),905 (54.16%)
62062,"5,388 (67.28%)","5,102 (63.71%)"
62063,516 (47.69%),492 (45.47%)
62065,31 (17.32%),30 (16.76%)
62067,"1,362 (49.44%)","1,311 (47.59%)"
62069,"1,638 (53.04%)","1,558 (50.45%)"
62070,18 (37.5%),18 (37.5%)
62074,488 (36.61%),454 (34.06%)
62075,"1,337 (36.51%)","1,267 (34.6%)"
62076,32 (28.57%),32 (28.57%)
62077,160 (66.67%),155 (64.58%)
62078,19 (24.36%),19 (24.36%)
62079,142 (58.2%),139 (56.97%)
62080,748 (30.74%),674 (27.7%)
62081,108 (30.51%),107 (30.23%)
62082,997 (36.31%),953 (34.71%)
62083,70 (29.54%),66 (27.85%)
62084,772 (52.73%),722 (49.32%)
62085,75 (39.06%),71 (36.98%)
62086,568 (44.97%),514 (40.7%)
62087,737 (33.93%),683 (31.45%)
62088,"3,683 (56.07%)","3,505 (53.36%)"
62089,224 (44.71%),214 (42.71%)
62090,384 (29.7%),353 (27.3%)
62091,188 (49.47%),175 (46.05%)
62092,"1,126 (38.4%)","1,051 (35.85%)"
62093,219 (45.91%),204 (42.77%)
62094,449 (39.11%),423 (36.85%)
62095,"5,501 (52.62%)","5,141 (49.17%)"
62097,"1,515 (49.45%)","1,429 (46.64%)"
62098,25 (100%),24 (100%)
62201,"2,323 (30.69%)","2,016 (26.63%)"
62203,"3,124 (37.8%)","2,783 (33.68%)"
62204,"1,865 (23.45%)","1,647 (20.71%)"
62205,"3,411 (42.6%)","3,076 (38.42%)"
62206,"4,844 (32.03%)","4,276 (28.28%)"
62207,"2,533 (28.42%)","2,240 (25.13%)"
62208,"9,942 (60.2%)","9,255 (56.04%)"
62214,658 (52.98%),637 (51.29%)
62215,"1,032 (54.12%)",960 (50.34%)
62216,"1,675 (61.09%)","1,587 (57.88%)"
62217,340 (45.45%),323 (43.18%)
62218,853 (46.87%),812 (44.62%)
62219,426 (44.65%),403 (42.24%)
62220,"10,737 (58.67%)","9,977 (54.51%)"
62221,"16,612 (55.47%)","15,516 (51.81%)"
62223,"9,944 (60.97%)","9,272 (56.85%)"
62225,"1,863 (36.33%)","1,690 (32.96%)"
62226,"17,305 (60.37%)","16,161 (56.38%)"
62230,"3,803 (60.57%)","3,622 (57.68%)"
62231,"3,530 (47.47%)","3,361 (45.2%)"
62232,"4,071 (60.72%)","3,768 (56.2%)"
62233,"3,315 (34.25%)","3,109 (32.12%)"
62234,"17,934 (55.31%)","16,677 (51.43%)"
62236,"7,772 (56.49%)","7,301 (53.07%)"
62237,"1,228 (50.43%)","1,154 (47.39%)"
62238,222 (35.86%),197 (31.83%)
62239,"1,882 (39.92%)","1,766 (37.45%)"
62240,659 (38.16%),624 (36.13%)
62241,469 (47.42%),448 (45.3%)
62242,594 (41.11%),563 (38.96%)
62243,"3,534 (60.98%)","3,337 (57.58%)"
62244,524 (58.42%),497 (55.41%)
62245,"1,023 (60.46%)",966 (57.09%)
62246,"4,420 (44.57%)","4,196 (42.32%)"
62248,223 (57.03%),212 (54.22%)
62249,"9,317 (60.08%)","8,810 (56.81%)"
62250,251 (54.45%),234 (50.76%)
62253,273 (46.83%),260 (44.6%)
62254,"3,333 (52.97%)","3,123 (49.63%)"
62255,472 (36.9%),436 (34.09%)
62257,"1,382 (51.61%)","1,293 (48.28%)"
62258,"5,946 (64.26%)","5,602 (60.54%)"
62260,"4,397 (59.38%)","4,156 (56.12%)"
62261,45 (70.31%),43 (67.19%)
62262,674 (44.84%),642 (42.71%)
62263,"2,878 (57.17%)","2,745 (54.53%)"
62264,"1,681 (44.89%)","1,577 (42.11%)"
62265,"2,425 (55.23%)","2,281 (51.95%)"
62266,70 (80.46%),63 (72.41%)
62268,395 (55.48%),375 (52.67%)
62269,"21,878 (68.31%)","20,572 (64.23%)"
62271,"1,182 (54.9%)","1,137 (52.81%)"
62272,659 (37.85%),614 (35.27%)
62273,138 (46.94%),130 (44.22%)
62274,"4,028 (51.27%)","3,571 (45.45%)"
62275,"1,627 (43.91%)","1,540 (41.57%)"
62277,494 (36.24%),469 (34.41%)
62278,"3,350 (51.2%)","3,199 (48.89%)"
62279,17 (100%),15 (100%)
62280,192 (43.15%),181 (40.67%)
62281,"1,622 (59.81%)","1,520 (56.05%)"
62282,346 (85.22%),335 (82.51%)
62284,244 (44.44%),231 (42.08%)
62285,"2,898 (65.33%)","2,760 (62.22%)"
62286,"2,833 (46.37%)","2,656 (43.47%)"
62288,"1,446 (46.74%)","1,362 (44.02%)"
62289,191 (54.42%),182 (51.85%)
62292,331 (37.4%),306 (34.58%)
62293,"2,685 (60.65%)","2,558 (57.78%)"
62294,"9,084 (64.35%)","8,584 (60.81%)"
62295,789 (51%),737 (47.64%)
62297,144 (57.37%),134 (53.39%)
62298,"10,247 (61.7%)","9,723 (58.54%)"
62301,"15,975 (49.8%)","15,099 (47.07%)"
62305,"10,649 (55.01%)","10,149 (52.43%)"
62311,313 (49.45%),297 (46.92%)
62312,791 (40.92%),758 (39.21%)
62313,136 (35.98%),131 (34.66%)
62314,181 (34.54%),164 (31.3%)
62316,229 (42.02%),220 (40.37%)
62319,98 (37.55%),94 (36.02%)
62320,798 (34.34%),765 (32.92%)
62321,"1,738 (45.2%)","1,649 (42.89%)"
62323,124 (46.27%),116 (43.28%)
62324,465 (43.22%),445 (41.36%)
62325,145 (31.12%),138 (29.61%)
62326,"1,039 (44.46%)","1,004 (42.96%)"
62330,453 (25.95%),432 (24.74%)
62334,47 (34.06%),42 (30.43%)
62336,21 (100%),21 (100%)
62338,718 (54.56%),689 (52.36%)
62339,350 (40.05%),336 (38.44%)
62340,702 (37.06%),669 (35.32%)
62341,"1,287 (37.26%)","1,199 (34.71%)"
62343,213 (22.47%),195 (20.57%)
62344,73 (100%),70 (100%)
62345,105 (26.85%),101 (25.83%)
62346,78 (41.27%),75 (39.68%)
62347,947 (48.42%),907 (46.37%)
62348,10 (6.02%),*
62349,266 (42.49%),256 (40.89%)
62351,814 (43.32%),768 (40.87%)
62352,56 (24.14%),55 (23.71%)
62353,"2,660 (49.76%)","2,577 (48.2%)"
62354,570 (35.8%),536 (33.67%)
62355,220 (29.18%),204 (27.06%)
62356,211 (45.38%),200 (43.01%)
62357,84 (17.68%),80 (16.84%)
62358,157 (17.76%),149 (16.86%)
62359,64 (30.62%),61 (29.19%)
62360,665 (34.67%),631 (32.9%)
62361,154 (29.5%),146 (27.97%)
62362,129 (43.43%),123 (41.41%)
62363,"2,481 (43.09%)","2,339 (40.62%)"
62365,222 (35.81%),211 (34.03%)
62366,458 (28.82%),444 (27.94%)
62367,420 (40.66%),409 (39.59%)
62370,139 (59.4%),133 (56.84%)
62373,127 (43.2%),120 (40.82%)
62374,160 (46.38%),156 (45.22%)
62375,128 (37.1%),124 (35.94%)
62376,501 (41.61%),485 (40.28%)
62378,376 (39.37%),351 (36.75%)
62379,694 (40.23%),678 (39.3%)
62380,112 (22.95%),100 (20.49%)
62401,"9,521 (50.85%)","8,844 (47.24%)"
62410,358 (28.66%),347 (27.78%)
62411,"1,747 (42.24%)","1,614 (39.02%)"
62413,154 (46.67%),146 (44.24%)
62414,627 (31.46%),593 (29.75%)
62417,"1,029 (31.36%)",961 (29.29%)
62418,601 (28.51%),578 (27.42%)
62419,131 (56.96%),127 (55.22%)
62420,"1,903 (39.96%)","1,764 (37.04%)"
62421,275 (41.67%),263 (39.85%)
62422,336 (33.53%),321 (32.04%)
62423,263 (54.23%),245 (50.52%)
62424,769 (31.45%),711 (29.08%)
62425,223 (44.42%),219 (43.63%)
62426,266 (30.47%),252 (28.87%)
62427,599 (35.44%),570 (33.73%)
62428,"1,262 (45.02%)","1,176 (41.96%)"
62431,337 (31.97%),326 (30.93%)
62432,199 (47.72%),177 (42.45%)
62433,403 (43.47%),375 (40.45%)
62434,142 (43.43%),130 (39.76%)
62436,208 (29.84%),192 (27.55%)
62438,128 (42.67%),123 (41%)
62439,"2,873 (40.09%)","2,686 (37.48%)"
62440,548 (41.67%),522 (39.7%)
62441,"3,122 (46.01%)","2,870 (42.29%)"
62442,843 (29.96%),792 (28.14%)
62443,538 (32.06%),494 (29.44%)
62444,112 (33.84%),107 (32.33%)
62445,304 (23.57%),280 (21.71%)
62446,129 (37.72%),122 (35.67%)
62447,"1,298 (35.91%)","1,194 (33.03%)"
62448,"2,537 (45.59%)","2,337 (41.99%)"
62449,"1,245 (39.93%)","1,148 (36.82%)"
62450,"5,272 (43.11%)","5,049 (41.28%)"
62451,857 (41.99%),802 (39.29%)
62452,115 (27.32%),106 (25.18%)
62454,"5,350 (48.25%)","4,935 (44.51%)"
62458,850 (42.95%),794 (40.12%)
62459,91 (26.69%),82 (24.05%)
62460,421 (36.48%),394 (34.14%)
62461,307 (45.68%),290 (43.15%)
62462,389 (39.61%),367 (37.37%)
62463,407 (32.77%),387 (31.16%)
62465,353 (36.62%),330 (34.23%)
62466,"1,942 (42.24%)","1,735 (37.73%)"
62467,"1,685 (39.36%)","1,603 (37.44%)"
62468,999 (39.74%),943 (37.51%)
62469,136 (22.3%),128 (20.98%)
62471,"3,489 (33.67%)","3,268 (31.54%)"
62473,486 (33.68%),449 (31.12%)
62474,341 (35.15%),316 (32.58%)
62475,128 (28.76%),119 (26.74%)
62476,488 (30.69%),469 (29.5%)
62477,309 (39.56%),286 (36.62%)
62478,142 (36.5%),136 (34.96%)
62479,295 (31.55%),269 (28.77%)
62480,256 (54.47%),234 (49.79%)
62481,148 (34.42%),120 (27.91%)
62501,"1,222 (42.68%)","1,165 (40.69%)"
62510,636 (41.35%),602 (39.14%)
62512,235 (52.69%),229 (51.35%)
62513,703 (39.78%),658 (37.24%)
62514,95 (52.49%),92 (50.83%)
62515,472 (46.73%),452 (44.75%)
62517,70 (35.18%),69 (34.67%)
62518,179 (100%),172 (97.73%)
62519,36 (59.02%),31 (50.82%)
62520,814 (49.73%),777 (47.46%)
62521,"16,945 (47.69%)","16,029 (45.12%)"
62522,"6,391 (41.88%)","5,975 (39.15%)"
62523,334 (23.21%),310 (21.54%)
62526,"15,036 (46.55%)","14,104 (43.66%)"
62530,836 (57.34%),799 (54.8%)
62531,789 (44.73%),746 (42.29%)
62532,32 (29.09%),31 (28.18%)
62533,498 (64.01%),472 (60.67%)
62534,522 (37.58%),495 (35.64%)
62535,"2,428 (80.85%)","2,304 (76.72%)"
62536,606 (80.91%),580 (77.44%)
62537,71 (93.42%),64 (84.21%)
62538,158 (44.01%),145 (40.39%)
62539,615 (47.42%),588 (45.34%)
62540,605 (38.61%),568 (36.25%)
62541,36 (97.3%),35 (94.59%)
62543,241 (45.39%),235 (44.26%)
62544,872 (54.6%),818 (51.22%)
62545,661 (56.54%),629 (53.81%)
62546,634 (39.04%),602 (37.07%)
62547,339 (36.61%),323 (34.88%)
62548,"1,267 (50.4%)","1,218 (48.45%)"
62549,"3,581 (57.17%)","3,402 (54.31%)"
62550,"1,242 (44.71%)","1,173 (42.22%)"
62551,351 (61.04%),329 (57.22%)
62553,159 (30.87%),155 (30.1%)
62554,802 (61.17%),774 (59.04%)
62555,200 (47.28%),185 (43.74%)
62556,151 (46.32%),149 (45.71%)
62557,"2,795 (39.27%)","2,633 (36.99%)"
62558,"1,893 (56.56%)","1,798 (53.72%)"
62560,744 (62.21%),696 (58.19%)
62561,"2,663 (49.78%)","2,514 (46.99%)"
62563,"3,961 (69.63%)","3,780 (66.44%)"
62565,"3,382 (48.15%)","3,229 (45.97%)"
62567,446 (43.09%),418 (40.39%)
62568,"7,471 (47.32%)","6,886 (43.62%)"
62570,200 (38.91%),182 (35.41%)
62571,450 (27.12%),434 (26.16%)
62572,211 (40.89%),200 (38.76%)
62573,680 (35.56%),648 (33.89%)
62601,220 (62.32%),213 (60.34%)
62610,59 (47.2%),56 (44.8%)
62611,492 (44.13%),477 (42.78%)
62612,894 (49.69%),857 (47.64%)
62613,"2,008 (51.67%)","1,883 (48.46%)"
62615,"2,907 (50.89%)","2,774 (48.56%)"
62617,322 (48.13%),310 (46.34%)
62618,"4,205 (56.84%)","3,842 (51.93%)"
62621,430 (35.98%),412 (34.48%)
62622,23 (32.39%),23 (32.39%)
62624,211 (45.57%),200 (43.2%)
62625,551 (67.03%),531 (64.6%)
62626,"4,344 (56.34%)","4,097 (53.14%)"
62627,409 (39.75%),386 (37.51%)
62628,381 (49.74%),366 (47.78%)
62629,"10,131 (73.76%)","9,668 (70.38%)"
62630,208 (56.99%),195 (53.42%)
62631,156 (57.14%),152 (55.68%)
62633,319 (56.36%),307 (54.24%)
62634,448 (57.81%),419 (54.06%)
62635,375 (53.19%),363 (51.49%)
62638,627 (45.97%),596 (43.7%)
62639,120 (41.24%),117 (40.21%)
62640,"1,812 (50.57%)","1,712 (47.78%)"
62642,744 (50.3%),702 (47.46%)
62643,226 (40.29%),207 (36.9%)
62644,"2,564 (51.84%)","2,465 (49.84%)"
62649,201 (33.28%),190 (31.46%)
62650,"13,445 (50.26%)","12,803 (47.86%)"
62655,224 (48.7%),212 (46.09%)
62656,"9,846 (50.4%)","9,358 (47.9%)"
62661,634 (41.25%),603 (39.23%)
62663,128 (49.42%),119 (45.95%)
62664,"1,416 (46.26%)","1,375 (44.92%)"
62665,552 (40.62%),527 (38.78%)
62666,264 (43.07%),249 (40.62%)
62667,268 (60.22%),248 (55.73%)
