zip,city,county,pop
60467,Orland Park,Cook,26861
60468,Peotone,Will,6005
60469,Posen,Cook,5795
60470,Ransom,La Salle,542
60471,Richton Park,Cook,13917
60472,Robbins,Cook,4904
60473,South Holland,Cook,22088
60474,South Wilmington,Grundy,824
60475,Steger,Cook,9664
60476,Thornton,Cook,2550
60477,Tinley Park,Cook,37542
60478,Country Club Hills,Cook,16769
60479,Verona,Grundy,925
60480,Willow Springs,Cook,5151
60481,Wilmington,Will,11809
60482,Worth,Cook,10849
60490,Bolingbrook,Will,22158
60501,Summit Argo,Cook,11874
60504,Aurora,Du Page,39070
60505,Aurora,Kane,74726
60506,Aurora,Kane,55542
60510,Batavia,Kane,29332
60511,Big Rock,Kane,1805
60512,Bristol,Kendall,1010
60513,Brookfield,Cook,18753
60514,Clarendon Hills,Du Page,9943
60515,Downers Grove,Du Page,28290
60516,Downers Grove,Du Page,29208
60517,Woodridge,Du Page,32390
60518,Earlville,La Salle,3715
60519,Eola,Du Page,24
60520,Hinckley,De Kalb,2855
60521,Hinsdale,Du Page,18415
60523,Oak Brook,Du Page,10081
60525,La Grange,Cook,30474
60526,La Grange Park,Cook,13451
60527,Willowbrook,Du Page,28534
60530,Lee,Lee,483
60531,Leland,La Salle,1792
60532,Lisle,Du Page,27956
60534,Lyons,Cook,10452
60536,Millbrook,Kendall,139
60537,Millington,Kendall,573
60538,Montgomery,Kendall,29343
60539,Mooseheart,Kane,223
60540,Naperville,Du Page,45187
60541,Newark,Kendall,3667
60542,North Aurora,Kane,18191
60543,Oswego,Kendall,40293
60544,Plainfield,Will,27426
60545,Plano,Kendall,13699
60546,Riverside,Cook,15405
60548,Sandwich,De Kalb,12054
60549,Serena,La Salle,190
60550,Shabbona,De Kalb,1553
60551,Sheridan,La Salle,5284
60552,Somonauk,De Kalb,4348
60553,Steward,Lee,688
60554,Sugar Grove,Kane,12194
60555,Warrenville,Du Page,13273
60556,Waterman,De Kalb,2124
60557,Wedron,La Salle,280
60558,Western Springs,Cook,13272
60559,Westmont,Du Page,24384
60560,Yorkville,Kendall,25140
60561,Darien,Du Page,22955
60563,Naperville,Du Page,37705
60564,Naperville,Will,42425
60565,Naperville,Du Page,40560
60601,Chicago,Cook,15083
60602,Chicago,Cook,1145
60603,Chicago,Cook,1052
60604,Chicago,Cook,823
60605,Chicago,Cook,29060
60606,Chicago,Cook,3287
60607,Chicago,Cook,29293
60608,Chicago,Cook,80059
60609,Chicago,Cook,60939
60610,Chicago,Cook,40548
60611,Chicago,Cook,33224
60612,Chicago,Cook,33735
60613,Chicago,Cook,50761
60614,Chicago,Cook,71954
60615,Chicago,Cook,40590
60616,Chicago,Cook,54197
60617,Chicago,Cook,83553
